date,year,month_day,spy,vix,sp20vol,next_20_vix,next_20_move,last_20_move,imp_v_hist,vol_diff_p,spy_50_ma,spy_v_ma
8/9/2007,2007,8/9,145.39,26.48,0.229777982,7.459894888403706,10.845941178250149,9.0,2.2409616729256534,33.15503721807796,151.042,0.9625799446511565
8/10/2007,2007,8/10,144.71,28.3,0.229013369,7.972621802939006,11.537181011033038,10.139999999999986,3.5309571145920913,53.42614922938525,150.8698,0.9591714180041334
8/13/2007,2007,8/13,145.23,26.57,0.229173486,7.485249516045561,10.870827872152967,9.600000000000023,2.7998897116086336,41.174180900983096,150.6928,0.9637487657008164
8/14/2007,2007,8/14,143.01,27.68,0.234914356,7.7979565902951125,11.15185771978104,11.740000000000009,4.925964950107713,72.29145306767352,150.471,0.9504156947185836
8/15/2007,2007,8/15,141.04,30.67,0.237358044,8.640293664174534,12.186270183951763,13.430000000000007,6.467281187844597,92.88442291471132,150.22199999999998,0.9388771285164623
8/16/2007,2007,8/16,142.1,30.83,0.236777872,8.685368557760054,12.341908720577035,12.969999999999999,6.316618632080537,94.93847237642667,150.0272,0.9471615813665789
8/17/2007,2007,8/17,144.71,29.99,0.256411593,8.44872536643607,12.226150477769638,8.789999999999992,1.46018843730325,19.921227507873695,149.9394,0.9651232431235552
8/20/2007,2007,8/20,144.64,26.33,0.255009895,7.41763717566728,10.728870410885152,9.330000000000013,2.038471953015879,27.956718260982573,149.81140000000002,0.9654805976047215
8/21/2007,2007,8/21,144.93,25.25,0.247517986,7.113381643965014,10.309424016598495,6.3700000000000045,-1.536742028782914,-19.4358437797605,149.684,0.9682397584244141
8/22/2007,2007,8/22,146.65,22.89,0.251286683,6.448526963578582,9.45676479208799,4.960000000000008,-2.770741472416546,-35.84056564693838,149.62400000000002,0.9801235095973907
8/23/2007,2007,8/23,146.52,22.62,0.237919554,6.372463080653015,9.336932905772798,1.5,-7.148561526530459,-82.65607528606257,149.5166,0.9799580782334537
8/24/2007,2007,8/24,148.33,20.72,0.234302511,5.837198719324954,8.658316860374704,3.219999999999999,-6.660722901504476,-67.41129133871662,149.42600000000002,0.992665265750271
8/27/2007,2007,8/27,146.95,22.72,0.233723064,6.400634889143965,9.405732969597056,0.4300000000000068,-8.235142889572057,-95.03758904521375,149.3036,0.9842361470185581
8/28/2007,2007,8/28,143.72,26.3,0.244326435,7.4091856331199955,10.648481591920058,2.0,-7.655420835124691,-79.28624723715451,149.1202,0.9637862610162807
8/29/2007,2007,8/29,146.54,23.81,0.255920795,6.707707601695326,9.82947471952433,0.10999999999998522,-9.654343470319864,-98.87345216466066,148.9856,0.983584990764208
8/30/2007,2007,8/30,146.15,25.06,0.255810661,7.059855207832208,10.317978386246773,1.4499999999999886,-7.373613256386857,-83.56682282113366,148.8858,0.9816248426646464
8/31/2007,2007,8/31,147.59,23.38,0.239080954,6.586568825184239,9.721116929089417,3.789999999999992,-6.4025828494727115,-62.816098176763305,148.798,0.99188161131198
9/4/2007,2007,9/4,149.08,22.78,0.226502741,6.417537974238536,9.567265611994811,2.8700000000000045,-6.438940269983846,-69.16942297659642,148.7686,1.0020931836422473
9/5/2007,2007,9/5,147.79,24.58,0.229647641,6.924630527075645,10.233911455965096,0.01999999999998181,-8.955316191365956,-99.7771666248458,148.7278,0.9936945211318933
9/6/2007,2007,9/6,148.13,23.99,0.224219692,6.758416856979037,10.011242890243047,1.700000000000017,-7.354006531997099,-81.22378204618951,148.72459999999998,0.9960020063930245
9/7/2007,2007,9/7,146.07,26.23,0.206111506,7.38946536717633,10.793792061834464,0.6800000000000068,-10.165941178250142,-93.7303735210768,148.638,0.9827231259839341
